Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,559,0,63,97.93738819333122,45.9999999984575,781.0000000026776,32.0,9.67240336203954,0.0,63,63,63,78,250,270,280,310,780,780,780
,Aggregated,559,0,63,97.93738819333122,45.9999999984575,781.0000000026776,32.0,9.67240336203954,0.0,63,63,63,78,250,270,280,310,780,780,780
